dados,euro
21.10.2022,5.0883
20.10.2022,5.1015
19.10.2022,5.1493
18.10.2022,5.1637
17.10.2022,5.1963
14.10.2022,5.1756
13.10.2022,5.1442
12.10.2022,5.1363
11.10.2022,5.1431
10.10.2022,5.0349
07.10.2022,5.0649
06.10.2022,5.1129
05.10.2022,5.1338
04.10.2022,5.1682
03.10.2022,5.0761
30.09.2022,5.3066
29.09.2022,5.3009
28.09.2022,5.2315
27.09.2022,5.1597
26.09.2022,5.1788
23.09.2022,5.0975
22.09.2022,5.0306
21.09.2022,5.087
20.09.2022,5.1288
19.09.2022,5.1797
16.09.2022,5.2625
15.09.2022,5.2448
14.09.2022,5.1548
13.09.2022,5.1745
12.09.2022,5.1513
09.09.2022,5.1671
08.09.2022,5.2129
07.09.2022,5.248
06.09.2022,5.2018
05.09.2022,5.1152
02.09.2022,5.1428
01.09.2022,5.2122
31.08.2022,5.2126
30.08.2022,5.1284
29.08.2022,5.0257
26.08.2022,5.0404
25.08.2022,5.0957
24.08.2022,5.0922
23.08.2022,5.0869
22.08.2022,5.127
19.08.2022,5.1873
18.08.2022,5.2129
17.08.2022,5.2572
16.08.2022,5.2334
15.08.2022,5.1776
12.08.2022,5.2044
11.08.2022,5.3216
10.08.2022,5.244
09.08.2022,5.2318
08.08.2022,5.2114
05.08.2022,5.2569
04.08.2022,5.3423
03.08.2022,5.3693
02.08.2022,5.366
01.08.2022,5.3191
29.07.2022,5.2862
28.07.2022,5.2828
27.07.2022,5.3491
26.07.2022,5.4121
25.07.2022,5.4735
22.07.2022,5.6122
21.07.2022,5.6221
20.07.2022,5.5682
19.07.2022,5.5325
18.07.2022,5.5147
15.07.2022,5.4562
14.07.2022,5.432
13.07.2022,5.4241
12.07.2022,5.4569
11.07.2022,5.3992
08.07.2022,5.3514
07.07.2022,5.424
06.07.2022,5.5266
05.07.2022,5.5294
04.07.2022,5.5512
01.07.2022,5.5581
30.06.2022,5.5095
29.06.2022,5.4093
28.06.2022,5.5404
27.06.2022,5.5419
24.06.2022,5.5321
23.06.2022,5.5152
22.06.2022,5.4875
21.06.2022,5.3948
20.06.2022,5.4521
17.06.2022,5.4098
16.06.2022,5.3304
15.06.2022,5.2772
14.06.2022,5.329
13.06.2022,5.3235
10.06.2022,5.2433
09.06.2022,5.2075
08.06.2022,5.2486
07.06.2022,5.21
06.06.2022,5.1272
03.06.2022,5.1148
02.06.2022,5.1537
01.06.2022,5.1275
31.05.2022,5.0776
30.05.2022,5.1219
27.05.2022,5.0733
26.05.2022,5.1129
25.05.2022,5.1558
24.05.2022,5.1728
23.05.2022,5.1434
20.05.2022,5.152
19.05.2022,5.2212
18.05.2022,5.1997
17.05.2022,5.2088
16.05.2022,5.278
13.05.2022,5.2682
12.05.2022,5.3285
11.05.2022,5.3998
10.05.2022,5.4015
09.05.2022,5.4482
06.05.2022,5.3591
05.05.2022,5.2995
04.05.2022,5.2253
03.05.2022,5.2162
02.05.2022,5.3401
29.04.2022,5.2411
28.04.2022,5.1886
27.04.2022,5.2407
26.04.2022,5.3163
25.04.2022,5.2233
22.04.2022,5.1743
21.04.2022,5.0084
20.04.2022,5.0152
19.04.2022,5.0344
18.04.2022,5.0156
15.04.2022,5.075
14.04.2022,5.0884
13.04.2022,5.105
12.04.2022,5.0595
11.04.2022,5.1089
08.04.2022,5.1085
07.04.2022,5.1697
06.04.2022,5.1377
05.04.2022,5.0705
04.04.2022,5.0383
01.04.2022,5.1479
31.03.2022,5.2432
30.03.2022,5.3202
29.03.2022,5.2721
28.03.2022,5.2337
25.03.2022,5.2072
24.03.2022,5.3054
23.03.2022,5.3103
22.03.2022,5.4141
21.03.2022,5.4358
18.03.2022,5.55
17.03.2022,5.5877
16.03.2022,5.5995
15.03.2022,5.6541
14.03.2022,5.6
11.03.2022,5.5358
10.03.2022,5.5036
09.03.2022,5.5511
08.03.2022,5.5148
07.03.2022,5.547
04.03.2022,5.5307
03.03.2022,5.5674
02.03.2022,5.6712
01.03.2022,5.7399
28.02.2022,5.7889
25.02.2022,5.8164
24.02.2022,5.7333
23.02.2022,5.6655
22.02.2022,5.7285
21.02.2022,5.7722
18.02.2022,5.8173
17.02.2022,5.8752
16.02.2022,5.8417
15.02.2022,5.8586
14.02.2022,5.8954
11.02.2022,5.9613
10.02.2022,5.9987
09.02.2022,5.9799
08.02.2022,6.003
07.02.2022,6.0226
04.02.2022,6.0983
03.02.2022,6.0437
02.02.2022,5.9471
01.02.2022,5.9337
31.01.2022,5.9581
28.01.2022,5.9809
27.01.2022,6.0245
26.01.2022,6.1044
25.01.2022,6.1508
24.01.2022,6.2137
21.01.2022,6.1896
20.01.2022,6.129
19.01.2022,6.1676
18.01.2022,6.3042
17.01.2022,6.2927
14.01.2022,6.317
13.01.2022,6.3319
12.01.2022,6.3318
11.01.2022,6.3287
10.01.2022,6.4131
07.01.2022,6.4014
06.01.2022,6.4171
05.01.2022,6.4583
04.01.2022,6.4065
03.01.2022,6.417
31.12.2021,6.3323
30.12.2021,6.3075
29.12.2021,6.472
28.12.2021,6.365
27.12.2021,6.3708
24.12.2021,6.4224
23.12.2021,6.4285
22.12.2021,6.4026
21.12.2021,6.4822
20.12.2021,6.4741
17.12.2021,6.4011
16.12.2021,6.4438
15.12.2021,6.4106
14.12.2021,6.3957
13.12.2021,6.4092
10.12.2021,6.3485
09.12.2021,6.2927
08.12.2021,6.2752
07.12.2021,6.3234
06.12.2021,6.4201
03.12.2021,6.3955
02.12.2021,6.3796
01.12.2021,6.4467
30.11.2021,6.3753
29.11.2021,6.3238
26.11.2021,6.348
25.11.2021,6.2377
24.11.2021,6.2766
23.11.2021,6.2654
22.11.2021,6.2759
19.11.2021,6.3365
18.11.2021,6.3184
17.11.2021,6.2585
16.11.2021,6.2286
15.11.2021,6.2035
12.11.2021,6.2503
11.11.2021,6.1817
10.11.2021,6.3026
09.11.2021,6.3523
08.11.2021,6.4238
05.11.2021,6.4108
04.11.2021,6.472
03.11.2021,6.4465
02.11.2021,6.5752
01.11.2021,6.5928
29.10.2021,6.5172
28.10.2021,6.594
27.10.2021,6.4253
26.10.2021,6.4534
25.10.2021,6.4486
22.10.2021,6.5775
21.10.2021,6.5748
20.10.2021,6.5205
19.10.2021,6.4958
18.10.2021,6.3985
15.10.2021,6.3341
14.10.2021,6.392
13.10.2021,6.391
12.10.2021,6.3773
11.10.2021,6.3954
08.10.2021,6.3742
07.10.2021,6.3742
06.10.2021,6.3456
05.10.2021,6.3486
04.10.2021,6.337
01.10.2021,6.2182
30.09.2021,6.3033
29.09.2021,6.2789
28.09.2021,6.342
27.09.2021,6.3042
24.09.2021,6.2487
23.09.2021,6.2236
22.09.2021,6.1805
21.09.2021,6.1779
20.09.2021,6.2415
17.09.2021,6.2005
16.09.2021,6.1802
15.09.2021,6.1697
14.09.2021,6.1826
13.09.2021,6.1572
10.09.2021,6.1969
09.09.2021,6.1462
08.09.2021,6.2862
07.09.2021,6.1193
06.09.2021,6.1349
03.09.2021,6.1677
02.09.2021,6.1525
01.09.2021,6.139
31.08.2021,6.0797
30.08.2021,6.1145
27.08.2021,6.1354
26.08.2021,6.1713
25.08.2021,6.1342
24.08.2021,6.166
23.08.2021,6.318
20.08.2021,6.2889
19.08.2021,6.3205
18.08.2021,6.2993
17.08.2021,6.1997
16.08.2021,6.1941
13.08.2021,6.1863
12.08.2021,6.1615
11.08.2021,6.125
10.08.2021,6.0811
09.08.2021,6.1421
06.08.2021,6.1506
05.08.2021,6.2104
04.08.2021,6.1163
03.08.2021,6.1633
02.08.2021,6.1408
30.07.2021,6.187
29.07.2021,6.0395
28.07.2021,6.0604
27.07.2021,6.1067
26.07.2021,6.1073
23.07.2021,6.1213
22.07.2021,6.1208
21.07.2021,6.117
20.07.2021,6.1492
19.07.2021,6.1962
16.07.2021,6.0379
15.07.2021,6.0359
14.07.2021,6.0011
13.07.2021,6.078
12.07.2021,6.1347
09.07.2021,6.2427
08.07.2021,6.2264
07.07.2021,6.1674
06.07.2021,6.1444
05.07.2021,6.0384
02.07.2021,6.0008
01.07.2021,5.9804
30.06.2021,5.8903
29.06.2021,5.895
28.06.2021,5.8719
25.06.2021,5.8871
24.06.2021,5.8628
23.06.2021,5.9228
22.06.2021,5.9181
21.06.2021,5.9744
18.06.2021,6.036
17.06.2021,5.9604
16.06.2021,6.0624
15.06.2021,6.115
14.06.2021,6.1313
11.06.2021,6.1948
10.06.2021,6.1517
09.06.2021,6.1646
08.06.2021,6.1251
07.06.2021,6.1495
04.06.2021,6.1427
03.06.2021,6.156
02.06.2021,6.1966
01.06.2021,6.2898
31.05.2021,6.378
28.05.2021,6.3691
27.05.2021,6.3857
26.05.2021,6.4747
25.05.2021,6.5307
24.05.2021,6.4972
21.05.2021,6.53
20.05.2021,6.4584
19.05.2021,6.4616
18.05.2021,6.4283
17.05.2021,6.4071
14.05.2021,6.4012
13.05.2021,6.4122
12.05.2021,6.405
11.05.2021,6.3402
10.05.2021,6.3401
07.05.2021,6.3695
06.05.2021,6.3675
05.05.2021,6.4277
04.05.2021,6.5393
03.05.2021,6.5636
30.04.2021,6.5337
29.04.2021,6.468
28.04.2021,6.4773
27.04.2021,6.5903
26.04.2021,6.5657
23.04.2021,6.6243
22.04.2021,6.5419
21.04.2021,6.7017
20.04.2021,6.7008
19.04.2021,6.674
16.04.2021,6.6965
15.04.2021,6.7198
14.04.2021,6.7707
13.04.2021,6.8296
12.04.2021,6.8277
09.04.2021,6.7623
08.04.2021,6.6374
07.04.2021,6.6642
06.04.2021,6.6386
05.04.2021,6.6888
02.04.2021,6.7132
01.04.2021,6.7201
31.03.2021,6.6046
30.03.2021,6.7642
29.03.2021,6.7983
26.03.2021,6.7882
25.03.2021,6.6437
24.03.2021,6.6394
23.03.2021,6.5418
22.03.2021,6.5702
19.03.2021,6.5368
18.03.2021,6.6252
17.03.2021,6.6876
16.03.2021,6.6933
15.03.2021,6.6983
12.03.2021,6.6355
11.03.2021,6.634
10.03.2021,6.7639
09.03.2021,6.9038
08.03.2021,6.9584
05.03.2021,6.7817
04.03.2021,6.7839
03.03.2021,6.778
02.03.2021,6.8618
01.03.2021,6.7967
26.02.2021,6.7597
25.02.2021,6.7343
24.02.2021,6.5745
23.02.2021,6.6101
22.02.2021,6.6433
19.02.2021,6.5217
18.02.2021,6.5602
17.02.2021,6.5126
16.02.2021,6.4998
15.02.2021,6.5125
12.02.2021,6.5071
11.02.2021,6.5085
10.02.2021,6.5257
09.02.2021,6.5166
08.02.2021,6.4646
05.02.2021,6.467
04.02.2021,6.4913
03.02.2021,6.4417
02.02.2021,6.4636
01.02.2021,6.5507
29.01.2021,6.6293
28.01.2021,6.595
27.01.2021,6.5561
26.01.2021,6.5109
25.01.2021,6.6347
22.01.2021,6.6512
21.01.2021,6.5074
20.01.2021,6.4051
19.01.2021,6.4969
18.01.2021,6.3951
15.01.2021,6.3925
14.01.2021,6.3171
13.01.2021,6.442
12.01.2021,6.4962
11.01.2021,6.6686
08.01.2021,6.6195
07.01.2021,6.6382
06.01.2021,6.5494
05.01.2021,6.4989
04.01.2021,6.4875
01.01.2021,6.3755
31.12.2020,6.3428
30.12.2020,6.3857
29.12.2020,6.3806
28.12.2020,6.4081
25.12.2020,6.3662
24.12.2020,6.3563
23.12.2020,6.3562
22.12.2020,6.2747
21.12.2020,6.2701
18.12.2020,6.2527
17.12.2020,6.2044
16.12.2020,6.2007
15.12.2020,6.1778
14.12.2020,6.2159
11.12.2020,6.1349
10.12.2020,6.0991
09.12.2020,6.2463
08.12.2020,6.196
07.12.2020,6.1734
04.12.2020,6.2487
03.12.2020,6.255
02.12.2020,6.32
01.12.2020,6.2838
30.11.2020,6.3599
27.11.2020,6.3923
26.11.2020,6.3568
25.11.2020,6.3421
24.11.2020,6.3892
23.11.2020,6.4398
20.11.2020,6.3766
19.11.2020,6.2991
18.11.2020,6.3561
17.11.2020,6.3197
16.11.2020,6.4186
13.11.2020,6.4581
12.11.2020,6.4427
11.11.2020,6.349
10.11.2020,6.3969
09.11.2020,6.3612
06.11.2020,6.369
05.11.2020,6.5344
04.11.2020,6.6393
03.11.2020,6.7409
02.11.2020,6.6837
30.10.2020,6.6907
29.10.2020,6.7464
28.10.2020,6.7483
27.10.2020,6.7296
26.10.2020,6.6395
23.10.2020,6.6618
22.10.2020,6.6062
21.10.2020,6.6483
20.10.2020,6.6256
19.10.2020,6.5971
16.10.2020,6.6148
15.10.2020,6.5701
14.10.2020,6.5674
13.10.2020,6.5406
12.10.2020,6.5345
09.10.2020,6.5413
08.10.2020,6.582
07.10.2020,6.597
06.10.2020,6.5616
05.10.2020,6.5671
02.10.2020,6.6595
01.10.2020,6.6297
30.09.2020,6.5752
29.09.2020,6.6159
28.09.2020,6.6022
25.09.2020,6.4691
24.09.2020,6.43
23.09.2020,6.5224
22.09.2020,6.4032
21.09.2020,6.3707
18.09.2020,6.3766
17.09.2020,6.2071
16.09.2020,6.1878
15.09.2020,6.248
14.09.2020,6.2544
11.09.2020,6.3002
10.09.2020,6.2857
09.09.2020,6.2643
08.09.2020,6.3127
07.09.2020,6.2624
04.09.2020,6.2735
03.09.2020,6.2698
02.09.2020,6.3306
01.09.2020,6.4266
31.08.2020,6.5545
28.08.2020,6.4135
27.08.2020,6.5832
26.08.2020,6.6331
25.08.2020,6.5183
24.08.2020,6.6125
21.08.2020,6.6278
20.08.2020,6.5898
19.08.2020,6.5779
