dados,euro
01.05.2019,4.3875
30.04.2019,4.3964
29.04.2019,4.4085
26.04.2019,4.3798
25.04.2019,4.3997
24.04.2019,4.4521
23.04.2019,4.4003
22.04.2019,4.4304
19.04.2019,4.4152
18.04.2019,4.4086
17.04.2019,4.4468
16.04.2019,4.4027
15.04.2019,4.3781
12.04.2019,4.3858
11.04.2019,4.3391
10.04.2019,4.3116
09.04.2019,4.336
08.04.2019,4.3336
05.04.2019,4.3432
04.04.2019,4.3295
03.04.2019,4.3469
02.04.2019,4.3167
01.04.2019,4.3182
29.03.2019,4.4013
28.03.2019,4.3792
27.03.2019,4.489
26.03.2019,4.3669
25.03.2019,4.3587
22.03.2019,4.417
21.03.2019,4.3124
20.03.2019,4.3083
19.03.2019,4.2996
18.03.2019,4.2978
15.03.2019,4.3177
14.03.2019,4.3425
13.03.2019,4.3182
12.03.2019,4.3022
11.03.2019,4.3185
08.03.2019,4.3465
07.03.2019,4.3324
06.03.2019,4.3419
05.03.2019,4.2694
04.03.2019,4.2812
01.03.2019,4.2948
28.02.2019,4.2657
27.02.2019,4.2393
26.02.2019,4.2729
25.02.2019,4.2621
22.02.2019,4.252
21.02.2019,4.2732
20.02.2019,4.226
19.02.2019,4.2223
18.02.2019,4.2249
15.02.2019,4.1797
14.02.2019,4.2057
13.02.2019,4.2278
12.02.2019,4.2016
11.02.2019,4.2372
08.02.2019,4.2254
07.02.2019,4.2172
06.02.2019,4.202
05.02.2019,4.189
04.02.2019,4.1968
01.02.2019,4.1925
31.01.2019,4.1713
30.01.2019,4.2298
29.01.2019,4.253
28.01.2019,4.2987
25.01.2019,4.3013
24.01.2019,4.2661
23.01.2019,4.2864
22.01.2019,4.3337
21.01.2019,4.2682
18.01.2019,4.263
17.01.2019,4.2735
16.01.2019,4.2595
15.01.2019,4.2425
14.01.2019,4.2453
11.01.2019,4.2565
10.01.2019,4.2671
09.01.2019,4.2482
08.01.2019,4.2488
07.01.2019,4.2868
04.01.2019,4.2339
03.01.2019,4.2801
02.01.2019,4.2992
01.01.2019,4.4494
